"","Title","Year","Rating","Runtime","Critic.Score","Box.Office"
"1041","Last Holiday",2006,"PG-13",112,55,38.4
"1042","Tristan + Isolde",2006,"PG-13",125,32,14.6
"1043","Underworld: Evolution",2006,"R",106,16,62.3
"1044","Big Momma's House 2",2006,"PG-13",99,6,70.1
"1045","Roving Mars",2006,"G",40,70,10
"1046","Annapolis",2006,"PG-13",108,10,16.8
"1047","Something New",2006,"PG-13",99,61,11.4
"1048","When a Stranger Calls",2006,"PG-13",87,9,47.9
"1049","Believe in Me",2006,"PG",131,60,0.2
"1050","Final Destination 3",2006,"R",93,43,54.1
"1051","Curious George",2006,"G",86,69,58.3
"1052","The Pink Panther",2006,"PG",93,22,82.2
"1053","Firewall",2006,"PG-13",105,19,48.7
"1054","Freedomland",2006,"R",113,23,12.3
"1055","Eight Below",2006,"PG",120,72,81.6
"1056","The Second Chance",2006,"PG-13",102,40,0.4
"1057","Date Movie",2006,"PG-13",83,7,48.5
"1058","Madea's Family Reunion",2006,"PG-13",107,25,63.2
"1059","Running Scared",2006,"R",122,40,6.7
"1060","Doogal",2006,"G",78,8,7.3
"1061","Deep Sea",2006,"G",41,91,42
"1062","Aquamarine",2006,"PG",104,51,18.6
"1063","Ultraviolet",2006,"PG-13",88,9,18.3
"1064","16 Blocks",2006,"PG-13",105,55,36.9
"1065","Failure to Launch",2006,"PG-13",97,24,88.7
"1066","The Shaggy Dog",2006,"PG",98,26,61
"1067","The Hills Have Eyes",2006,"R",107,49,41.7
"1068","Don't Trip... He Ain't Through with Me Yet",2006,"PG",90,45,0.2
"1069","Church Ball",2006,"PG",91,18,0.3
"1070","Find Me Guilty",2006,"R",125,61,0.6
"1071","Inside Man",2006,"R",129,86,88.4
"1072","Larry the Cable Guy: Health Inspector",2006,"PG-13",89,5,15.7
"1073","Stay Alive",2006,"PG-13",85,9,23
"1074","Slither",2006,"R",95,86,7.8
"1075","ATL",2006,"PG-13",105,62,21.2
"1076","Basic Instinct 2",2006,"R",114,7,5.9
"1077","Ice Age: The Meltdown",2006,"PG",91,57,195.3
"1078","The Benchwarmers",2006,"PG-13",80,11,57.7
"1079","Phat Girlz",2006,"PG-13",99,23,6.9
"1080","Take the Lead",2006,"PG-13",118,44,34.7
"1081","Ask the Dust",2006,"R",117,35,0.6
"1082","Scary Movie 4",2006,"PG-13",83,37,90.7
"1083","The Wild",2006,"G",94,20,37.3
"1084","The Sentinel",2006,"PG-13",108,33,36.2
"1085","American Dreamz",2006,"PG-13",107,41,7.2
"1086","Journey from the Fall",2006,"R",135,92,0.5
"1087","Silent Hill",2006,"R",125,29,47
"1088","Akeelah and the Bee",2006,"PG",112,84,18.8
"1089","Stick It",2006,"PG-13",103,31,26.9
"1090","The TV Set",2006,"R",88,64,0.0345
"1091","United 93",2006,"R",111,91,31.5
"1092","RV",2006,"PG",99,23,71.4
"1093","Hoot",2006,"PG",91,26,8.1
"1094","Mission: Impossible III",2006,"PG-13",126,70,133.4
"1095","Art School Confidential",2006,"R",102,36,3.2
"1096","Just My Luck",2006,"PG-13",103,13,17.2
"1097","Poseidon",2006,"PG-13",98,33,60.7
"1098","See No Evil",2006,"R",84,8,15
"1099","Over the Hedge",2006,"PG",83,75,155
"1100","The Da Vinci Code",2006,"PG-13",149,25,217.5
"1101","X-Men: The Last Stand",2006,"PG-13",104,58,234.2
"1102","The Break-Up",2006,"PG-13",106,33,118.7
"1103","Keeping Up with the Steins",2006,"PG-13",90,37,4.3
"1104","The Omen",2006,"R",110,27,54.6
"1105","A Prairie Home Companion",2006,"PG-13",105,81,20.2
"1106","Cars",2006,"G",117,74,244.1
"1107","Garfield 2",2006,"PG",78,11,28.3
"1108","The Fast and the Furious: Tokyo Drift",2006,"PG-13",104,37,62.5
"1109","The Lake House",2006,"PG",99,35,52.3
"1110","Nacho Libre",2006,"PG",92,40,80.2
"1111","Click",2006,"PG-13",107,32,137.3
"1112","Peaceful Warrior",2006,"PG-13",120,25,1
"1113","Romeo & Juliet: Sealed with a Kiss",2006,"G",76,20,0.0809
"1114","Waist Deep",2006,"R",97,27,21.3
"1115","Superman Returns",2006,"PG-13",154,76,200
"1116","The Devil Wears Prada",2006,"PG-13",109,75,124.7
"1117","An Inconvenient Truth",2006,"PG",100,93,23.7
"1118","Quinceañera",2006,"R",90,86,1.5
"1119","Pirates of the Caribbean: Dead Man's Chest",2006,"PG-13",151,54,423
"1120","You, Me and Dupree",2006,"PG-13",108,21,75.6
"1121","Littleman",2006,"PG-13",98,12,58.3
"1122","The Celestine Prophecy",2006,"PG",99,4,1
"1123","Monster House",2006,"PG",91,74,73.7
"1124","Lady in the Water",2006,"PG-13",110,24,42.2
"1125","Wordplay",2006,"PG",94,95,2.9
"1126","Clerks II",2006,"R",97,63,24
"1127","My Super Ex-Girlfriend",2006,"PG-13",95,40,22.4
"1128","Miami Vice",2006,"R",134,47,63.4
"1129","John Tucker Must Die",2006,"PG-13",89,26,40.9
"1130","Scoop",2006,"PG-13",96,39,10.5
"1131","The Ant Bully",2006,"PG",88,63,28.1
"1132","A Scanner Darkly",2006,"R",100,69,5.3
"1133","Barnyard",2006,"PG",90,22,72.6
"1134","Talladega Nights: The Ballad of Ricky Bobby",2006,"PG-13",108,72,148.2
"1135","Who Killed the Electric Car?",2006,"PG",92,88,1.3
"1136","The Night Listener",2006,"R",91,40,7.8
"1137","World Trade Center",2006,"PG-13",129,68,70.2
"1138","The Butterfly Effect 2",2006,"R",92,0,57
"1139","Pulse",2006,"PG-13",90,10,20.2
"1140","Step Up",2006,"PG-13",104,19,65.3
"1141","Zoom",2006,"PG",83,3,11.6
"1142","Snakes on a Plane",2006,"R",105,68,33.9
"1143","Accepted",2006,"PG-13",93,36,36.3
"1144","Little Miss Sunshine",2006,"R",101,91,59.8
"1145","Material Girls",2006,"PG",97,4,11.3
"1146","Invincible",2006,"PG",105,71,57.8
"1147","How to Eat Fried Worms",2006,"PG",98,59,13
"1148","Idlewild",2006,"R",121,48,12.5
"1149","Beerfest",2006,"R",110,41,19
"1150","Crank",2006,"R",88,61,27.8
"1151","Crossover",2006,"PG-13",95,2,7
"1152","The Illusionist",2006,"PG-13",110,74,39.7
"1153","The Covenant",2006,"PG-13",97,3,23.3
"1154","Hollywoodland",2006,"R",126,69,14.3
"1155","Broken Bridges",2006,"PG-13",105,5,0.2
"1156","Everyone's Hero",2006,"G",88,41,14.5
"1157","The Last Kiss",2006,"R",104,46,11.5
"1158","Beer League",2006,"R",86,27,0.5
"1159","Gridiron Gang",2006,"PG-13",125,42,38.4
"1160","The Black Dahlia",2006,"R",121,32,22.5
"1161","Flyboys",2006,"PG-13",140,33,13
"1162","Jackass Number Two",2006,"R",92,63,72.8
"1163","Half Nelson",2006,"R",106,90,2.6
"1164","Open Season",2006,"PG",83,48,84.3
"1165","School for Scoundrels",2006,"PG-13",100,25,17.8
"1166","Facing the Giants",2006,"PG",111,13,10.1
"1167","The Guardian",2006,"PG-13",139,37,55
"1168","The Texas Chainsaw Massacre: The Beginning",2006,"R",91,12,39.4
"1169","The Departed",2006,"R",151,91,132.3
"1170","Employee of the Month",2006,"PG-13",103,20,28.4
"1171","Infamous",2006,"R",110,73,1.1
"1172","The Grudge 2",2006,"PG-13",102,10,39.1
"1173","One Night with the King",2006,"PG",123,19,13.4
"1174","A Guide to Recognizing Your Saints",2006,"R",100,76,0.4
"1175","Alex Rider: Operation Stormbreaker",2006,"PG",93,34,0.6
"1176","Man of the Year",2006,"PG-13",115,21,37.4
"1177","The Marine",2006,"PG-13",92,20,18.7
"1178","O Jerusalem",2006,"R",100,35,0.2
"1179","Fur: An Imaginary Portrait of Diane Arbus",2006,"R",122,32,0.1
"1180","Flags of Our Fathers",2006,"R",135,73,33.6
"1181","Marie Antoinette",2006,"PG-13",123,55,16
"1182","The Prestige",2006,"PG-13",130,76,53
"1183","Flicka",2006,"PG",95,54,20.9
"1184","Lonely Hearts",2006,"R",108,48,0.1
"1185","Running with Scissors",2006,"R",116,31,6.8
"1186","Saw III",2006,"R",108,28,80.2
"1187","Conversations with God",2006,"PG",109,7,0.3
"1188","Catch a Fire",2006,"PG-13",101,76,4.3
"1189","Little Children",2006,"R",136,80,5.3
"1190","The Santa Clause 3: The Escape Clause",2006,"G",97,15,84.4
"1191","Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan",2006,"R",84,91,128.4
"1192","Flushed Away",2006,"PG",85,72,64.5
"1193","Babel",2006,"R",143,69,34.2
"1194","Breaking and Entering",2006,"R",120,34,0.9
"1195","The Return",2006,"PG-13",85,16,7.7
"1196","A Good Year",2006,"PG-13",117,25,7.4
"1197","Goya's Ghosts",2006,"R",113,30,0.7
"1198","Stranger Than Fiction",2006,"PG-13",113,72,40.1
"1199","The Queen",2006,"PG-13",103,97,56.2
"1200","Happy Feet",2006,"PG",108,75,197.9
"1201","Fast Food Nation",2006,"R",116,50,0.9
"1202","Let's Go to Prison",2006,"R",84,12,5.5
"1203","Casino Royale",2006,"PG-13",144,95,167
"1204","The Fountain",2006,"PG-13",96,51,10
"1205","For Your Consideration",2006,"PG-13",86,50,5.5
"1206","Deck the Halls",2006,"PG",93,6,35.1
"1207","Tenacious D in The Pick of Destiny",2006,"R",93,54,8.2
"1208","Deja Vu",2006,"PG-13",126,55,63.9
"1209","Bobby",2006,"R",120,46,11.1
"1210","The Nativity Story",2006,"PG",101,38,37.6
"1211","Turistas",2006,"R",93,16,6.9
"1212","Van Wilder 2: The Rise of Taj",2006,"R",97,7,3.8
"1213","The U.S. vs. John Lennon",2006,"PG-13",99,77,1
"1214","The Holiday",2006,"PG-13",138,47,63.2
"1215","Apocalypto",2006,"R",139,65,50.8
"1216","Unaccompanied Minors",2006,"PG",90,31,16.6
"1217","Blood Diamond",2006,"R",143,62,57.3
"1218","Charlotte's Web",2006,"G",97,78,82.1
"1219","The Pursuit of Happyness",2006,"PG-13",117,67,162.6
"1220","Rocky Balboa",2006,"PG",102,76,70.1
"1221","We Are Marshall",2006,"PG",131,49,43.5
"1222","Night at the Museum",2006,"PG",108,44,250.8
"1223","The Good Shepherd",2006,"R",167,54,59.8
"1224","Dreamgirls",2006,"PG-13",130,78,103.3
"1225","Happily N'Ever After",2006,"PG",87,4,151.9
"1226","Thr3e",2006,"PG-13",101,5,1
"1227","Children of Men",2006,"R",109,92,35.3
"1228","Alpha Dog",2006,"R",122,55,15.1
"1229","God Grew Tired of Us",2006,"PG",89,91,0.1
"1230","Pan's Labyrinth",2006,"R",118,95,37.4
"1231","The Painted Veil",2006,"PG-13",125,74,7.9
"1232","The Good German",2006,"R",105,33,0.9
"1233","Idiocracy",2006,"R",84,73,0.3
"1234","Smokin' Aces",2006,"R",108,29,35.6
"1235","Catch and Release",2006,"PG-13",124,21,15.3
"1236","Letters from Iwo Jima",2006,"R",141,91,13.7
"1237","10 Items or Less",2006,"R",82,63,0.0693
"1238","Factory Girl",2006,"R",90,19,1.6
"1239","The Bridge",2006,"R",94,67,0.0493
"1240","The Astronaut Farmer",2006,"PG",104,57,11
"1241","Amazing Grace",2006,"PG",118,70,21.2
"1242","Black Snake Moan",2006,"R",116,66,9.3
"1243","Copying Beethoven",2006,"PG-13",104,28,0.2
"1244","300",2006,"R",117,60,210.6
"1245","Starter for 10",2006,"PG-13",92,89,0.2
"1246","Miss Potter",2006,"PG",92,66,2.9
"1247","The Ultimate Gift",2006,"PG",114,32,3.2
"1248","First Snow",2006,"R",101,58,0.1
"1249","The Namesake",2006,"PG-13",122,87,13.5
"1250","Seraphim Falls",2006,"R",115,55,0.3
"1251","Jesus Camp",2006,"PG-13",87,87,0.8
"1252","Blind Dating",2006,"PG-13",95,25,0.0619
"1253","The Ex",2006,"PG-13",89,19,3
"1254","Away from Her",2006,"PG-13",110,94,15.8
"1255","Bug",2006,"R",102,61,7
"1256","Hollywood Dreams",2006,"R",100,36,0.0892
"1257","DOA: Dead or Alive",2006,"PG-13",87,34,0.3
"1258","Rescue Dawn",2006,"PG-13",120,91,5.3
"1259","El cantante",2006,"R",106,25,7.5
"1260","Mini's First Time",2006,"R",91,54,0.0218
"1261","Skinwalkers",2006,"R",110,14,1
"1262","Come Early Morning",2006,"R",97,83,0.0502
"1263","Fay Grim",2006,"R",118,44,0.0618
"1264","Bella",2006,"PG-13",91,44,7.9
"1265","Southland Tales",2006,"R",145,36,0.2
"1266","Wild West Comedy Show: 30 Days & 30 Nights - Hollywood to the Heartland",2006,"R",100,57,0.5
"1267","Penelope",2006,"PG",104,53,9.8
"1268","Bonneville",2006,"PG",93,40,0.3
"1269","Little Chenier",2006,"R",120,60,0.0444
"1270","The Fall",2006,"R",117,59,2.1
"1271","Civic Duty",2006,"R",98,56,0.0549
"1272","The Foot Fist Way",2006,"R",85,54,0.2
"1273","The Heart Specialist",2006,"R",99,0,1.1
"1274","Starting Out in the Evening",2007,"PG-13",111,87,0.6
"1275","Music Within",2007,"R",94,33,0.1
"1276","Code Name: The Cleaner",2007,"PG-13",84,4,8.1
"1277","Freedom Writers",2007,"PG-13",123,69,36.5
"1278","Primeval",2007,"R",93,19,10.4
"1279","Stomp the Yard",2007,"PG-13",109,26,61.4
"1280","The Hitcher",2007,"R",84,21,16.2
"1281","Blood and Chocolate",2007,"PG-13",98,11,3.4
"1282","Epic Movie",2007,"PG-13",86,2,39.7
"1283","Because I Said So",2007,"PG-13",102,5,42.6
"1284","The Messengers",2007,"PG-13",90,12,35.4
"1285","The Last Sin Eater",2007,"PG-13",117,19,0.2
"1286","Norbit",2007,"PG-13",102,9,95.3
"1287","Daddy's Little Girls",2007,"PG-13",100,26,31.3
"1288","Music and Lyrics",2007,"PG-13",96,62,50.5
"1289","Bridge to Terabithia",2007,"PG",96,85,82.2
"1290","Breach",2007,"PG-13",110,84,33
"1291","Ghost Rider",2007,"PG-13",114,26,115.8
"1292","The Number 23",2007,"R",101,8,35.1
"1293","Reno 911!: Miami",2007,"R",84,35,20.3
"1294","Wild Hogs",2007,"PG-13",100,14,168.2
"1295","Zodiac",2007,"R",157,89,33
"1296","Shoot Down",2007,"PG-13",85,80,0.0514
"1297","Dead Silence",2007,"R",89,21,16.5
"1298","Premonition",2007,"PG-13",96,8,47.9
"1299","Reign Over Me",2007,"R",124,64,19.7
"1300","Shooter",2007,"R",124,48,47
"1301","The Hills Have Eyes II",2007,"R",89,11,20.8
"1302","TMNT",2007,"PG",87,34,54.1
"1303","Pride",2007,"PG",104,45,7
"1304","The Last Mimzy",2007,"PG",90,53,21.4
"1305","Blades of Glory",2007,"PG-13",93,69,118.2
"1306","Meet the Robinsons",2007,"G",95,66,97.7
"1307","The Lookout",2007,"R",99,87,4.5
"1308","Are We Done Yet?",2007,"PG",92,8,50
"1309","Firehouse Dog",2007,"PG",111,38,13.9
"1310","The Reaping",2007,"R",99,8,25.1
"1311","Grindhouse",2007,"R",191,83,24.9
"1312","Redline",2007,"PG-13",95,0,6.8
"1313","Disturbia",2007,"PG-13",105,68,80.1
"1314","Aqua Teen Hunger Force Colon Movie Film for Theaters",2007,"R",86,48,5.4
"1315","My Name Is Bruce",2007,"R",86,40,0.1
"1316","Perfect Stranger",2007,"R",109,11,23.7
"1317","Pathfinder",2007,"R",99,11,10.2
"1318","Hot Fuzz",2007,"R",121,91,23.6
"1319","Fracture",2007,"R",113,71,39
"1320","Vacancy",2007,"R",85,56,19
"1321","In the Land of Women",2007,"PG-13",97,43,11
"1322","The Hammer",2007,"R",88,80,0.3
"1323","The Condemned",2007,"R",113,15,7.3
"1324","The Invisible",2007,"PG-13",102,20,20.5
"1325","Next",2007,"PG-13",96,28,18
"1326","Spider-Man 3",2007,"PG-13",139,63,336.5
"1327","Lucky You",2007,"PG-13",124,29,5.7
"1328","Interview",2007,"R",84,57,0.3
"1329","Delta Farce",2007,"PG-13",90,5,8.1
"1330","Georgia Rule",2007,"R",113,17,18.9
"1331","Year of the Dog",2007,"PG-13",97,69,1.5
"1332","Shrek the Third",2007,"PG",93,40,320.7
"1333","Pirates of the Caribbean: At World's End",2007,"PG-13",169,45,309.4
"1334","Waitress",2007,"PG-13",108,89,18.7
"1335","Mr. Brooks",2007,"R",120,55,28.4
"1336","Crazy Love",2007,"PG-13",92,78,0.2
"1337","Gracie",2007,"PG-13",95,60,2.9
"1338","Hostel: Part II",2007,"R",94,44,17.5
"1339","Ocean's Thirteen",2007,"PG-13",122,70,117.1
"1340","Surf's Up",2007,"PG",85,78,58.9
"1341","The Living Wake",2007,"PG-13",91,50,0.0121
"1342","Fantastic 4: Rise of the Silver Surfer",2007,"PG",92,37,131.8
"1343","Nancy Drew",2007,"PG",99,49,25.5
"1344","1408",2007,"PG-13",104,79,71.9
"1345","A Mighty Heart",2007,"R",108,79,9.1
"1346","Evan Almighty",2007,"PG",96,23,100.3
"1347","Live Free or Die Hard",2007,"PG-13",128,82,134.5
"1348","Ratatouille",2007,"G",111,96,206.4
"1349","Evening",2007,"PG-13",117,27,12.4
"1350","License to Wed",2007,"PG-13",91,7,43.7
"1351","Nanking",2007,"R",88,96,0.0455
"1352","Sicko",2007,"PG-13",123,92,24.3
"1353","Rise: Blood Hunter",2007,"R",97,33,0.0594
"1354","Harry Potter and the Order of the Phoenix",2007,"PG-13",138,79,292
"1355","You Kill Me",2007,"R",93,78,2.3
"1356","Captivity",2007,"R",96,9,2.6
"1357","Joshua",2007,"R",106,62,0.4
"1358","I Now Pronounce You Chuck & Larry",2007,"PG-13",115,14,119.7
"1359","Hairspray",2007,"PG",117,91,118.8
"1360","Who's Your Caddy?",2007,"PG-13",93,6,5.5
"1361","I Know Who Killed Me",2007,"R",105,7,7.2
"1362","The Simpsons Movie",2007,"PG-13",87,90,183
"1363","No Reservations",2007,"PG",104,42,43.1
"1364","Bratz",2007,"PG",110,9,9.9
"1365","Underdog",2007,"PG",84,14,43.7
"1366","Hot Rod",2007,"PG-13",88,40,13.9
"1367","Talk to Me",2007,"R",118,82,4.4
"1368","The Bourne Ultimatum",2007,"PG-13",115,93,227.4
"1369","Daddy Day Camp",2007,"PG",93,1,13.2
"1370","The Walker",2007,"R",108,54,0.0432
"1371","Rush Hour 3",2007,"PG-13",91,18,140.1
"1372","Stardust",2007,"PG-13",127,76,38.2
"1373","Superbad",2007,"R",113,88,121.5
"1374","Arctic Tale",2007,"G",96,61,0.6
"1375","The Invasion",2007,"PG-13",99,19,15
"1376","September Dawn",2007,"R",111,13,1.1
"1377","Resurrecting the Champ",2007,"PG-13",112,60,2.9
"1378","Illegal Tender",2007,"R",108,15,3.1
"1379","The Legend of God's Gun",2007,"R",78,0,0.0772
"1380","Balls of Fury",2007,"PG-13",90,23,32.8
"1381","Halloween",2007,"R",109,25,58.2
"1382","Death Sentence",2007,"R",105,20,9.5
"1383","Ladrón que roba a ladrón",2007,"PG-13",98,66,4
"1384","The Brothers Solomon",2007,"R",93,15,0.9
"1385","Shoot 'Em Up",2007,"R",86,67,12.7
"1386","3:10 to Yuma",2007,"R",122,89,53.6
"1387","Greetings from the Shore",2007,"R",116,70,0.0405
"1388","Mr. Woodcock",2007,"PG-13",87,13,25.8
"1389","The Brave One",2007,"R",122,43,36.8
"1390","The Hunting Party",2007,"R",101,53,0.8
"1391","Eastern Promises",2007,"R",100,89,17.1
"1392","Sydney White",2007,"PG-13",108,37,11.7
"1393","Resident Evil: Extinction",2007,"R",94,22,50.6
"1394","Good Luck Chuck",2007,"R",96,5,35
"1395","Feast of Love",2007,"R",101,39,3.4
"1396","In the Valley of Elah",2007,"R",121,73,6.6
"1397","Rocket Science",2007,"R",101,84,0.6
"1398","The Kingdom",2007,"R",110,51,47.5
"1399","The Game Plan",2007,"PG",110,29,90.5
"1400","Feel the Noise",2007,"PG-13",86,12,5.9
"1401","The Heartbreak Kid",2007,"R",116,29,36.8
"1402","Control",2007,"R",122,87,0.8
"1403","The Jane Austen Book Club",2007,"PG-13",106,65,3.3
"1404","The 11th Hour",2007,"PG",95,67,0.6
"1405","Elizabeth: The Golden Age",2007,"PG-13",114,35,16.3
"1406","The Final Season",2007,"PG",119,26,1
"1407","Michael Clayton",2007,"R",119,90,49
"1408","We Own the Night",2007,"R",117,57,28.6
"1409","Across the Universe",2007,"PG-13",133,53,24.3
"1410","Trade",2007,"R",120,29,0.1
"1411","Rendition",2007,"R",122,47,9.7
"1412","Sarah Landon and the Paranormal Hour",2007,"PG",81,0,0.8
"1413","Into the Wild",2007,"R",148,82,18.2
"1414","The Ten Commandments",2007,"PG",88,14,0.8
"1415","30 Days of Night",2007,"R",113,51,39.6
"1416","Gone Baby Gone",2007,"R",114,94,20.3
"1417","Things We Lost in the Fire",2007,"R",118,65,3.2
"1418","The Assassination of Jesse James by the Coward Robert Ford",2007,"R",160,76,3.8
"1419","The Comebacks",2007,"PG-13",84,9,13.3
"1420","Paranoid Park",2007,"R",85,76,0.2
"1421","The Darjeeling Limited",2007,"R",91,68,11.7
"1422","Dan in Real Life",2007,"PG-13",98,64,47.6
"1423","Saw IV",2007,"R",93,17,63.3
"1424","Youth Without Youth",2007,"R",124,30,0.1
"1425","Darfur Now",2007,"PG",98,73,0.0639
"1426","Lars and the Real Girl",2007,"PG-13",106,81,5.8
"1427","Bee Movie",2007,"PG",91,51,126.6
"1428","In the Shadow of the Moon",2007,"PG",100,95,0.9
"1429","Martian Child",2007,"PG",106,33,7.5
"1430","American Gangster",2007,"R",157,80,130.1
"1431","Lions for Lambs",2007,"R",92,27,15
"1432","P2",2007,"R",98,35,4
"1433","Fred Claus",2007,"PG",116,21,72
"1434","Mr. Magorium's Wonder Emporium",2007,"G",93,37,31.9
"1435","What Would Jesus Buy?",2007,"PG",91,57,0.1
"1436","Love in the Time of Cholera",2007,"R",139,26,4.6
"1437","Beowulf",2007,"PG-13",115,71,82.2
"1438","Redacted",2007,"R",90,45,0.0256
"1439","Enchanted",2007,"PG",107,93,127.7
"1440","No Country for Old Men",2007,"R",122,93,74.2
"1441","August Rush",2007,"PG",114,37,31.5
"1442","The Mist",2007,"R",126,73,25.5
"1443","This Christmas",2007,"PG-13",117,56,49.1
"1444","Sleuth",2007,"R",86,36,0.2
"1445","Awake",2007,"R",84,23,14.3
"1446","The Golden Compass",2007,"PG-13",113,42,70.1
"1447","I'm Not There.",2007,"R",135,76,3.7
"1448","Before the Devil Knows You're Dead",2007,"R",117,88,7
"1449","Noëlle",2007,"PG",90,57,0.2
"1450","The Perfect Holiday",2007,"PG",96,16,5.8
"1451","I Am Legend",2007,"PG-13",101,70,256.3
"1452","Alvin and the Chipmunks",2007,"PG",92,27,217.2
"1453","Margot at the Wedding",2007,"R",91,52,1.9
"1454","Charlie Wilson's War",2007,"R",102,82,66.6
"1455","Walk Hard: The Dewey Cox Story",2007,"R",96,74,18.3
"1456","National Treasure: Book of Secrets",2007,"PG",124,35,219.9
"1457","Sweeney Todd: The Demon Barber of Fleet Street",2007,"R",116,86,52.8
"1458","Juno",2007,"PG-13",96,94,143.4
"1459","Aliens vs. Predator: Requiem",2007,"R",94,12,41.7
"1460","In the Name of the King: A Dungeon Siege Tale",2007,"PG-13",127,4,4.5
"1461","The Kite Runner",2007,"PG-13",128,66,15.7
"1462","The Bucket List",2007,"PG-13",97,41,93.5
"1463","Atonement",2007,"R",123,83,50.8
"1464","Cassandra's Dream",2007,"PG-13",108,46,0.9
"1465","How She Move",2007,"PG-13",94,66,7
"1466","There Will Be Blood",2007,"R",158,91,40.1
"1467","The Savages",2007,"R",113,89,6.4
"1468","The Diving Bell and the Butterfly",2007,"PG-13",112,94,5.9
"1469","Diary of the Dead",2007,"R",95,62,0.7
"1470","Charlie Bartlett",2007,"R",97,56,3.7
"1471","Persepolis",2007,"PG-13",96,96,4.3
"1472","U2 3D",2007,"G",85,93,10.4
"1473","The King of Kong: A Fistful of Quarters",2007,"PG-13",79,97,0.5
"1474","The Band's Visit",2007,"PG-13",87,98,3
"1475","Run, Fatboy, Run",2007,"PG-13",100,48,5.9
"1476","Married Life",2007,"PG-13",91,55,1.2
"1477","Teeth",2007,"R",94,79,0.2
"1478","Funny Games",2007,"R",111,52,1
"1479","Under the Same Moon",2007,"PG-13",106,73,12.5
"1480","88 Minutes",2007,"R",108,5,16.9
"1481","Then She Found Me",2007,"R",100,50,3.7
"1482","Surfwise",2007,"R",93,98,0.2
"1483","The Visitor",2007,"PG-13",104,89,9.2
"1484","Trumbo",2007,"PG-13",96,82,0.0281
"1485","Broken English",2007,"PG-13",93,64,0.8
"1486","Encounters at the End of the World",2007,"G",99,94,0.7
"1487","The Ten",2007,"R",96,37,0.5
"1488","The Life Before Her Eyes",2007,"R",90,24,0.2
"1489","Snow Angels",2007,"R",107,68,0.3
"1490","Towelhead",2007,"R",124,49,0.3
"1491","Tortilla Heaven",2007,"PG-13",98,25,0.0735
"1492","Nobel Son",2007,"R",110,25,0.3
"1493","Everybody Wants to Be Italian",2007,"R",105,9,0.3
"1494","Earth",2007,"G",90,87,32
"1495","Battle for Terra",2007,"PG",85,48,1.6
"1496","Brooklyn Rules",2007,"R",99,45,0.2
"1497","Paranormal Activity",2007,"R",86,83,107.9
"1498","One Missed Call",2008,"PG-13",87,0,26.8
"1499","The Pirates Who Don't Do Anything: A VeggieTales Movie",2008,"G",85,39,12.7
"1500","Mad Money",2008,"PG-13",104,22,20.5
"1501","27 Dresses",2008,"PG-13",111,41,76.8
"1502","Cloverfield",2008,"PG-13",85,77,80
"1503","Bigger Stronger Faster*",2008,"PG-13",105,96,0.2
"1504","The Mysteries of Pittsburgh",2008,"R",95,12,0.0328
"1505","Untraceable",2008,"R",101,16,28.7
"1506","Meet the Spartans",2008,"PG-13",86,2,38.2
"1507","Rambo",2008,"R",92,37,42.7
"1508","Over Her Dead Body",2008,"PG-13",95,15,7.5
"1509","Hannah Montana & Miley Cyrus: Best of Both Worlds Concert",2008,"G",74,72,65.1
"1510","The Eye",2008,"PG-13",98,22,31.4
"1511","Strange Wilderness",2008,"R",87,2,6.5
"1512","Fool's Gold",2008,"PG-13",112,11,70.2
"1513","Welcome Home, Roscoe Jenkins",2008,"PG-13",114,22,42.2
"1514","Jumper",2008,"PG-13",88,16,80.1
"1515","Step Up 2: The Streets",2008,"PG-13",98,27,58
"1516","The Spiderwick Chronicles",2008,"PG",96,80,71.1
"1517","Definitely, Maybe",2008,"PG-13",112,71,32
"1518","Witless Protection",2008,"PG-13",97,4,4.1
"1519","Be Kind Rewind",2008,"PG-13",102,66,11
"1520","Vantage Point",2008,"PG-13",90,35,72.3
"1521","Semi-Pro",2008,"R",91,21,33.4
"1522","In Bruges",2008,"R",107,84,7.6
"1523","The Other Boleyn Girl",2008,"PG-13",115,42,26.8
"1524","10,000 BC",2008,"PG-13",109,8,94.8
"1525","Miss Pettigrew Lives for a Day",2008,"PG-13",92,77,12.3
"1526","College Road Trip",2008,"G",83,13,45.6
"1527","The Bank Job",2008,"R",111,79,30
"1528","Never Back Down",2008,"PG-13",110,22,24.8
"1529","Doomsday",2008,"R",105,50,11
"1530","Horton Hears a Who!",2008,"G",86,79,154.4
"1531","Meet the Browns",2008,"PG-13",100,32,41.9
"1532","Shutter",2008,"PG-13",85,7,25.9
"1533","Drillbit Taylor",2008,"PG-13",110,25,32.9
"1534","Stop-Loss",2008,"R",112,65,10.8
"1535","21",2008,"PG-13",123,36,81.2
"1536","Superhero Movie",2008,"PG-13",75,16,25.8
"1537","Nim's Island",2008,"PG",96,51,47.9
"1538","Shine a Light",2008,"PG-13",122,87,5.4
"1539","Leatherheads",2008,"PG-13",114,52,31.2
"1540","The Ruins",2008,"R",90,48,17.4
"1541","Street Kings",2008,"R",109,36,26.4
"1542","Prom Night",2008,"PG-13",88,8,43.8
"1543","Smart People",2008,"R",95,49,9.5
"1544","Forgetting Sarah Marshall",2008,"R",111,85,62.9
